kabkota;tahun_2019;tahun_2020;tahun_2021;tahun_2022;tahun_2023;tahun_2024
BANYUWANGI;27,773;27,636;27,153;27,267;27,105;27,819
GRESIK;28,406;28,442;28,317;27,984;28,372;28,808
MALANG;25,814;26,021;25,884;25,670;26,280;27,133
NGANJUK;24,295;24,196;24,043;23,809;24,468;24,697
PASURUAN;21,833;22,398;21,912;21,777;22,592;22,621
SIDOARJO;27,983;28,144;28,055;27,915;28,238;28,650
SUMENEP;28,373;28,564;28,273;28,095;28,481;28,923
TUBAN;27,808;27,924;27,600;27,561;27,899;28,501
KOTA SURABAYA;28,981;28,957;28,823;28,635;29,053;29,526
